trade_num,date,target_value,pnl,cumsum_pnl,pnl_decimal,portfolio_value,compound_return_pct,actual_profitable,hit_rate_cumulative,drawdown,drawdown_pct
1781,2023-06-09 16:50:00,0.1502,-0.1502,21.801600000000022,-0.001502,122.89595354045272,22.895953540452723,1,0.49241998877035376,-13.366700000000002,-38.00780816815141
1782,2023-06-13 16:50:00,-0.2896,0.2896,22.091200000000022,0.002896,123.25186022190587,23.251860221905872,0,0.49214365881032546,-13.077100000000002,-37.184339305567775
1783,2023-06-15 16:50:00,0.0761,-0.0761,22.01510000000002,-0.000761,123.158065556277,23.158065556276995,1,0.49242849130678634,-13.153200000000002,-37.40072735958233
1784,2023-06-16 16:50:00,0.137,-0.137,21.87810000000002,-0.0013700000000000001,122.9893390064649,22.989339006464903,1,0.49271300448430494,-13.290200000000002,-37.79028272620511
1785,2023-06-22 16:50:00,0.0901,-0.0901,21.78800000000002,-0.000901,122.87852561202007,22.87852561202007,1,0.49299719887955185,-13.380300000000002,-38.046479357830755
1786,2023-06-23 16:50:00,-0.2365,0.2365,22.02450000000002,0.002365,123.16913332509249,23.16913332509249,0,0.49272116461366183,-13.143800000000002,-37.37399874318631
1787,2023-06-26 16:50:00,-0.2466,0.2466,22.271100000000022,0.0024660000000000003,123.47286840787217,23.47286840787217,0,0.4924454392837157,-12.897200000000002,-36.6727990832653
1788,2023-06-27 16:50:00,-0.0468,0.0468,22.317900000000023,0.000468,123.53065371028704,23.53065371028704,0,0.49217002237136465,-12.8504,-36.539724695251095
1789,2023-06-29 16:50:00,0.007,-0.007,22.31090000000002,-7.000000000000001e-05,123.52200656452732,23.522006564527317,1,0.4924538848518726,-12.857400000000002,-36.559628984056644
1790,2023-07-03 16:50:00,-0.0795,0.0795,22.39040000000002,0.000795,123.62020655974612,23.620206559746123,0,0.4921787709497207,-12.777900000000002,-36.33357313262226
1791,2023-07-06 16:50:00,0.0035,-0.0035,22.386900000000022,-3.5000000000000004e-05,123.61587985251653,23.615879852516528,1,0.49246231155778897,-12.781400000000001,-36.34352527702503
1792,2023-07-07 16:50:00,0.0673,-0.0673,22.319600000000023,-0.000673,123.53268636537578,23.53268636537578,1,0.4927455357142857,-12.848700000000001,-36.534890796541184
1793,2023-07-11 16:50:00,-0.3148,0.3148,22.634400000000024,0.003148,123.92156726205397,23.92156726205397,0,0.4924707194645845,-12.5339,-35.639766494257586
1794,2023-07-13 16:50:00,-0.0763,0.0763,22.710700000000024,0.0007630000000000001,124.01611941787492,24.01611941787492,0,0.4921962095875139,-12.4576,-35.42280974627716
1795,2023-07-14 16:50:00,0.1871,-0.1871,22.523600000000023,-0.0018709999999999998,123.78408525844408,23.78408525844408,1,0.4924791086350975,-12.6447,-35.95482295135105
1796,2023-07-17 16:50:00,-0.2161,0.2161,22.739700000000024,0.0021609999999999997,124.0515826666876,24.051582666687594,0,0.4922048997772829,-12.4286,-35.34034912122562
1797,2023-07-18 16:50:00,0.1698,-0.1698,22.569900000000025,-0.001698,123.84094307931956,23.84094307931956,1,0.49248747913188645,-12.598399999999998,-35.82317029825152
1798,2023-07-19 16:50:00,-0.3636,0.3636,22.933500000000027,0.003636,124.29122874835596,24.291228748355962,0,0.4922135706340378,-12.234799999999996,-34.789284668295
1799,2023-07-20 16:50:00,-0.0,0.0,22.933500000000027,0.0,124.29122874835596,24.291228748355962,0,0.4919399666481378,-12.234799999999996,-34.789284668295
1800,2023-07-21 16:50:00,0.112,-0.112,22.82150000000003,-0.0011200000000000001,124.1520225721578,24.152022572157804,1,0.4922222222222222,-12.346799999999995,-35.107753289183684
1801,2023-07-24 16:50:00,-0.3459,0.3459,23.16740000000003,0.003459,124.58146441823492,24.581464418234916,0,0.49194891726818435,-12.000899999999994,-34.124197075206894
1802,2023-07-25 16:50:00,0.0576,-0.0576,23.10980000000003,-0.000576,124.50970549473001,24.509705494730014,1,0.49223085460599336,-12.058499999999995,-34.28798093737823
1803,2023-07-27 16:50:00,-0.3493,0.3493,23.459100000000028,0.003493,124.9446178960231,24.944617896023104,0,0.49195784803105935,-11.709199999999996,-33.2947569259816
