date,prediction,probability,actual_profitable,target_value,target_value_normalized,test_end_idx,Ret_0-1hr_value,Ret_4-8hr_value
2013-03-19 09:55:00,1,0.785,0,-0.516,-0.516,2450,0.016,-0.097
2013-03-20 09:55:00,1,0.88,1,0.129,0.129,2450,-0.016,0.422
2013-03-21 09:55:00,1,0.79,0,-0.501,-0.501,2450,-0.048,-0.048
2013-03-22 09:55:00,1,0.87,1,0.388,0.388,2450,0.162,0.098
2013-03-25 09:55:00,1,0.87,0,-0.802,-0.802,2450,0.161,0.112
2013-03-26 09:55:00,1,0.96,1,0.193,0.193,2450,0.274,0.032
2013-03-27 09:55:00,0,0.64,1,0.549,0.549,2450,-0.065,-0.321
2013-03-28 09:55:00,1,0.875,1,0.289,0.289,2450,0.113,0.193
2013-04-01 09:55:00,1,0.84,0,-0.352,-0.352,2450,-0.032,0.0
2013-04-02 09:55:00,1,0.895,0,-0.048,-0.048,2450,0.16,0.434
2013-04-03 09:55:00,0,0.225,0,-0.785,-0.785,2450,-0.287,0.128
2013-04-04 09:55:00,1,0.985,0,-0.016,-0.016,2450,0.355,0.209
2013-04-05 09:55:00,1,0.76,1,0.831,0.831,2450,0.016,-0.129
2013-04-08 09:55:00,0,0.25,1,0.76,0.76,2450,-0.258,0.275
2013-04-09 09:55:00,0,0.21,1,0.45,0.45,2450,-0.384,0.0
2013-04-10 09:55:00,1,0.99,1,0.684,0.684,2450,0.367,0.304
2013-04-11 09:55:00,1,0.855,1,0.268,0.268,2450,0.0,0.047
2013-04-12 09:55:00,1,0.765,1,0.111,0.111,2450,0.0,-0.11
2013-04-15 09:55:00,1,0.735,0,-1.872,-1.872,2450,0.0,-0.19
2013-04-16 09:55:00,1,0.855,1,0.657,0.657,2450,0.048,0.032
2013-04-17 09:55:00,0,0.6,0,-0.595,-0.595,2450,-0.112,-0.287
2013-04-18 09:55:00,0,0.245,0,-0.324,-0.324,2450,-0.548,0.275
2013-04-19 09:55:00,1,0.87,1,0.617,0.617,2450,-0.049,0.162
2013-04-22 09:55:00,1,0.82,1,0.403,0.403,2450,-0.097,0.145
2013-04-23 09:55:00,1,0.965,1,0.383,0.383,2450,0.4,0.081
2013-04-24 09:55:00,1,0.87,0,-0.048,-0.048,2450,0.143,0.079
2013-04-25 09:55:00,1,0.865,1,0.111,0.111,2450,-0.079,0.175
2013-04-26 09:55:00,1,0.81,0,-0.158,-0.158,2450,0.19,-0.079
2013-04-29 09:55:00,1,0.89,1,0.411,0.411,2450,0.063,0.238
2013-04-30 09:55:00,0,0.16,1,0.553,0.553,2450,-0.283,-0.079
2013-05-01 09:55:00,0,0.325,0,-0.551,-0.551,2450,-0.189,0.141
2013-05-02 09:55:00,1,0.79,1,0.616,0.616,2450,-0.032,-0.063
2013-05-03 09:55:00,1,0.955,0,-0.031,-0.031,2450,0.312,0.016
2013-05-06 09:55:00,1,0.845,1,0.217,0.217,2450,0.0,0.016
2013-05-07 09:55:00,1,0.97,1,0.139,0.139,2450,0.232,0.155
2013-05-08 09:55:00,1,0.965,1,0.37,0.37,2450,0.309,0.077
2013-05-09 09:55:00,1,0.86,0,-0.322,-0.322,2450,0.154,0.015
2013-05-10 09:55:00,1,0.855,1,0.123,0.123,2450,0.108,0.077
2013-05-13 09:55:00,0,0.25,1,0.369,0.369,2450,-0.169,-0.185
2013-05-14 09:55:00,1,0.755,1,0.626,0.626,2450,0.368,-0.276
2013-05-15 09:55:00,1,0.85,1,0.577,0.577,2450,0.046,0.0
2013-05-16 09:55:00,1,0.905,0,-0.513,-0.513,2450,0.242,-0.06
2013-05-17 09:55:00,1,0.87,1,0.483,0.483,2450,0.121,0.076
2013-05-20 09:55:00,1,0.955,0,-0.015,-0.015,2450,0.271,0.015
2013-05-21 09:55:00,1,0.81,0,-0.105,-0.105,2450,0.165,-0.075
2013-05-22 09:55:00,1,0.87,0,-1.092,-1.092,2450,0.15,0.075
2013-05-23 09:55:00,0,0.085,1,0.779,0.779,2450,-0.198,-0.577
2013-05-24 09:55:00,0,0.04,1,0.611,0.611,2450,-0.228,-0.439
2013-05-27 09:55:00,1,0.65,1,0.364,0.364,2450,0.045,-0.439
2013-05-28 09:55:00,1,0.99,0,-0.704,-0.704,2450,0.3,0.347
2013-05-29 09:55:00,1,0.765,0,-0.046,-0.046,2450,0.076,-0.151
2013-05-30 09:55:00,1,0.96,0,-0.226,-0.226,2450,0.394,0.03
2013-05-31 09:55:00,1,0.755,0,-1.318,-1.318,2450,0.35,-0.68
2013-06-03 09:55:00,0,0.16,1,0.537,0.537,2450,-0.275,-0.046
2013-06-04 09:55:00,1,0.955,0,-0.822,-0.822,2450,0.259,0.0
2013-06-05 09:55:00,1,0.725,0,-1.077,-1.077,2450,-0.123,0.092
2013-06-06 09:55:00,1,0.86,1,0.621,0.621,2450,0.062,0.047
2013-06-07 09:55:00,1,0.86,1,0.597,0.597,2450,0.092,0.046
2013-06-10 09:55:00,0,0.39,0,-0.015,-0.015,2450,-0.182,0.228
2013-06-11 09:55:00,0,0.64,0,-0.077,-0.077,2450,-0.061,-0.595
2013-06-12 09:55:00,0,0.305,0,-1.256,-1.256,2450,-0.199,0.153
2013-06-13 09:55:00,1,0.885,1,1.378,1.378,2450,0.202,0.156
2013-06-14 09:55:00,1,0.905,0,-0.781,-0.781,2450,0.246,-0.061
2013-06-17 09:55:00,1,0.99,0,-0.229,-0.229,2450,0.353,0.43
2013-06-18 09:55:00,1,0.875,1,0.611,0.611,2450,0.107,0.168
2013-06-19 09:55:00,0,0.58,0,-1.187,-1.187,2450,-0.137,0.137
2013-06-20 09:55:00,0,0.07,0,-1.511,-1.511,2450,-0.202,-0.464
2013-06-21 09:55:00,1,0.845,0,0.0,0.0,2450,-0.094,0.283
2013-06-24 09:55:00,0,0.125,1,0.368,0.368,2450,-0.889,-0.159
2013-06-25 09:55:00,1,0.88,1,0.365,0.365,2450,0.016,0.687
2013-06-26 09:55:00,1,0.99,1,0.094,0.094,2450,0.283,0.729
2013-06-27 09:55:00,1,0.965,0,-0.217,-0.217,2450,0.311,0.047
2013-06-28 09:55:00,0,0.22,1,0.11,0.11,2450,-0.607,0.109
2013-07-01 09:55:00,1,0.99,0,-0.31,-0.31,2450,0.498,0.563
2013-07-02 09:55:00,1,0.905,0,-0.449,-0.449,2450,0.529,-0.047
2013-07-03 09:55:00,0,0.64,1,0.562,0.562,2450,-0.031,-0.327
2013-07-04 09:55:00,1,0.865,1,0.031,0.031,2450,0.077,0.124
2013-07-05 09:55:00,0,0.15,1,0.541,0.541,2450,-0.416,-0.092
2013-07-08 09:55:00,1,0.895,0,-0.137,-0.137,2450,0.138,0.568
2013-07-09 09:55:00,1,0.825,1,0.198,0.198,2550,-0.076,0.015
2013-07-10 09:55:00,1,0.835,0,-0.015,-0.015,2550,0.091,0.0
2013-07-11 09:55:00,1,0.715,1,0.376,0.376,2550,-0.03,-0.15
2013-07-12 09:55:00,1,0.86,1,0.18,0.18,2550,0.03,0.09
2013-07-15 09:55:00,1,0.73,1,0.194,0.194,2550,0.03,-0.149
2013-07-16 09:55:00,0,0.575,0,-0.224,-0.224,2550,-0.164,0.03
2013-07-17 09:55:00,0,0.525,0,-0.03,-0.03,2550,0.015,-0.314
2013-07-18 09:55:00,1,0.89,1,0.208,0.208,2550,0.119,0.239
2013-07-19 09:55:00,1,0.845,1,0.431,0.431,2550,0.074,0.134
2013-07-22 09:55:00,0,0.54,1,0.252,0.252,2550,-0.178,0.03
2013-07-23 09:55:00,1,0.745,0,-0.236,-0.236,2550,-0.03,-0.044
2013-07-24 09:55:00,0,0.35,0,-0.341,-0.341,2550,-0.354,0.133
2013-07-25 09:55:00,0,0.51,1,0.327,0.327,2550,0.194,-0.579
2013-07-26 09:55:00,0,0.605,1,0.447,0.447,2550,0.269,-0.43
2013-07-29 09:55:00,1,0.735,0,-0.178,-0.178,2550,0.074,-0.089
2013-07-30 09:55:00,0,0.51,0,-0.252,-0.252,2550,-0.133,-0.104
2013-07-31 09:55:00,1,0.84,0,-0.311,-0.311,2550,0.089,0.03
2013-08-01 09:55:00,1,0.885,1,0.339,0.339,2550,0.207,0.237
2013-08-02 09:55:00,1,0.71,1,0.412,0.412,2550,-0.044,-0.147
2013-08-05 09:55:00,1,0.86,1,0.059,0.059,2550,0.015,0.073
2013-08-06 09:55:00,0,0.585,0,-0.25,-0.25,2550,-0.162,0.103
2013-08-07 09:55:00,0,0.24,1,0.208,0.208,2550,-0.326,-0.074
2013-08-08 09:55:00,1,0.825,0,-0.015,-0.015,2550,-0.059,0.0
2013-08-09 09:55:00,0,0.605,0,-0.383,-0.383,2550,0.37,-0.31
2013-08-12 09:55:00,0,0.525,1,0.134,0.134,2550,0.223,-0.549
2013-08-13 09:55:00,0,0.525,1,0.282,0.282,2550,-0.192,0.222
2013-08-14 09:55:00,1,0.72,0,-0.503,-0.503,2550,0.163,-0.118
2013-08-15 09:55:00,0,0.34,0,-0.166,-0.166,2550,-0.494,-0.015
2013-08-16 09:55:00,1,0.895,0,-0.271,-0.271,2550,0.0,0.227
2013-08-19 09:55:00,1,0.88,0,-0.785,-0.785,2550,0.257,-0.03
2013-08-20 09:55:00,1,0.765,1,0.304,0.304,2550,-0.121,0.091
2013-08-21 09:55:00,0,0.63,0,-0.349,-0.349,2550,-0.015,-0.197
2013-08-22 09:55:00,1,0.975,1,0.364,0.364,2550,0.243,0.505
2013-08-23 09:55:00,1,0.73,1,0.257,0.257,2550,-0.015,-0.121
2013-08-26 09:55:00,0,0.52,0,-0.496,-0.496,2550,0.045,-0.24
2013-08-27 09:55:00,0,0.605,0,-0.883,-0.883,2550,0.259,-0.257
2013-08-28 09:55:00,1,0.725,1,0.245,0.245,2550,0.077,-0.138
2013-08-29 09:55:00,1,0.865,0,-0.031,-0.031,2550,0.076,0.153
2013-08-30 09:55:00,0,0.455,0,-0.352,-0.352,2550,-0.168,-0.167
2013-09-02 09:55:00,1,0.875,1,0.061,0.061,2550,-0.076,0.213
2013-09-03 09:55:00,0,0.525,0,-0.531,-0.531,2550,0.03,-0.319
2013-09-04 09:55:00,0,0.605,1,0.563,0.563,2550,0.336,-0.305
2013-09-05 09:55:00,1,0.72,0,-0.271,-0.271,2550,0.212,-0.151
2013-09-06 09:55:00,0,0.355,1,0.501,0.501,2550,-1.008,0.061
2013-09-09 09:55:00,1,0.815,1,0.391,0.391,2550,0.332,-0.106
2013-09-10 09:55:00,1,0.9,1,0.223,0.223,2550,0.03,0.314
2013-09-11 09:55:00,1,0.75,1,0.536,0.536,2550,-0.104,-0.03
2013-09-12 09:55:00,1,0.715,0,-0.252,-0.252,2550,-0.044,-0.133
2013-09-13 09:55:00,1,0.84,1,0.045,0.045,2550,0.045,0.015
2013-09-16 09:55:00,0,0.475,0,-0.251,-0.251,2550,-0.191,0.029
2013-09-17 09:55:00,1,0.83,1,0.177,0.177,2550,0.207,0.015
2013-09-18 09:55:00,1,0.835,1,1.222,1.222,2550,-0.044,0.044
2013-09-19 09:55:00,1,0.895,0,-0.363,-0.363,2550,0.0,0.291
2013-09-20 09:55:00,1,0.82,0,-0.685,-0.685,2550,-0.087,0.073
2013-09-23 09:55:00,0,0.44,0,-0.103,-0.103,2550,-0.176,-0.059
2013-09-24 09:55:00,1,0.74,0,-0.059,-0.059,2550,-0.074,-0.044
2013-09-25 09:55:00,0,0.4,0,-0.133,-0.133,2550,-0.222,0.015
2013-09-26 09:55:00,1,0.815,0,-0.162,-0.162,2550,0.281,-0.104
2013-09-27 09:55:00,0,0.115,1,0.119,0.119,2550,-0.208,-0.325
2013-09-30 09:55:00,1,0.735,1,0.254,0.254,2550,0.015,-0.104
2013-10-01 09:55:00,1,0.875,1,0.611,0.611,2550,-0.06,0.194
2013-10-02 09:55:00,0,0.515,1,0.506,0.506,2550,0.089,-0.489
2013-10-03 09:55:00,0,0.02,0,-0.402,-0.402,2550,-0.282,-0.253
2013-10-04 09:55:00,1,0.885,1,0.417,0.417,2550,0.164,0.345
2013-10-07 09:55:00,0,0.515,0,-0.164,-0.164,2550,0.075,-0.239
2013-10-08 09:55:00,1,0.74,0,-1.242,-1.242,2550,0.0,-0.09
2013-10-09 09:55:00,0,0.62,0,-0.03,-0.03,2550,-0.136,-0.015
2013-10-10 09:55:00,1,0.98,1,0.822,0.822,2550,0.435,0.362
2013-10-11 09:55:00,1,0.925,1,0.429,0.429,2550,0.386,-0.015
2013-10-14 09:55:00,1,0.925,1,0.873,0.873,2550,0.237,0.044
2013-10-15 09:55:00,0,0.615,0,-0.485,-0.485,2550,-0.147,0.147
2013-10-16 09:55:00,1,0.925,1,0.248,0.248,2550,0.514,-0.015
2013-10-17 09:55:00,1,0.73,1,0.935,0.935,2550,0.176,-0.073
2013-10-18 09:55:00,1,0.73,1,0.202,0.202,2550,0.159,-0.087
2013-10-21 09:55:00,1,0.72,0,-0.115,-0.115,2550,0.115,-0.144
2013-10-22 09:55:00,1,0.88,1,0.029,0.029,2550,0.344,-0.029
2013-10-23 09:55:00,0,0.2,1,0.216,0.216,2550,-0.316,-0.187
2013-10-24 09:55:00,0,0.56,1,0.23,0.23,2550,-0.129,-0.1
2013-10-25 09:55:00,1,0.885,1,0.2,0.2,2550,0.114,0.201
2013-10-28 09:55:00,1,0.725,1,0.171,0.171,2550,0.057,-0.142
2013-10-29 09:55:00,1,0.855,1,0.355,0.355,2550,0.057,0.071
2013-10-30 09:55:00,1,0.85,0,-0.523,-0.523,2550,-0.099,0.283
2013-10-31 09:55:00,0,0.595,0,-0.128,-0.128,2550,-0.171,0.2
2013-11-01 09:55:00,1,0.83,0,-0.085,-0.085,2550,0.157,0.0
